topic,quoteText,responseText,quote_stance,response_stance,stance_disagree_agree
abortion,"well you are confusing yourself now because if you are claiming abortion is not right then what is the purpose of your argument \? you 're so wrapped up in this duality you 've created you have n't even considered that my position is not one of morality i'm not for or against abortion it 's called pro choice not pro abortion you never said that it is right i agree but reading from your statement you are supporting the fact that it is right no , you 've imposed this position on me this is a matter of your prejudice , not my implication why do n't you care about whether abortion makes people more responsible or not \? is it because you are denying the fact \? i do n't care because it does n't matter i have no right to decide what is good and what is not for other people perhaps some people end up more responsible , perhaps some do n't the whole purpose of a debate is to justify and prove so i do not know where you got that idea from because again without justification then a debate based on opinion is none but a fruitless debate serving no purpose when we are supposed to educate then convince to justify and prove , eh \? a debate is a means , the purpose is invented by the individual this is still a debate whether my method is through debunking your conclusion or putting forth my own well remember you said in your first statement that it is my silly preferences if you were using your critical thinking skills you would have been able to realize that i meant you are failing to realize my facts but yet you were criticising me as i was just giving my opinions alone you seem to be under the delusion that one can derive a position from facts without forming an opinion a position without opinion is just facts , a position without facts is just opinion you need both i'm not arguing against the facts , i'm arguing against your stupidity do n't try to shift the blame onto the facts , they ca n't help what they are why do you mean how abortion started does not matter whe nit is the origin of the case because your argument is rooting in morality , mine is rooting in questioning your morality if you disagree with the origins of abortion for the same reason then it makes no difference , you 're still arguing from your personal preferences and the fact that there is a major dispute in the origin itself then start a debate how did abortion originate \? it 's another topic and does n't bare any relevance to this one look at our arguments and would you say that i am worst or you \? you would n't like my answer p who have produced facts and strenght in their arguments and who keep saying not related or does not matter \? me or you \? you are running away from my questions because you yourself knows the truth can you please get through just one sentence with proper grammar \? you can pull up facts until your fingers are worn to stubs it means nothing if they are n't relevant if you know my name is 99 then tell me what does 99 means on my name \? you totally missed the point is that all you can say you came up with it \? because you do not even have facts to justify your position but you are giving mere opinions and to me that does not matter and is irrelevant unless you can prove your opinion are you dyslexic \? that made almost no sense again , look up the term debunking but i guess they would love you for deciding that it is right for them \? again , i 've said no such thing at least try to make relevant arguments i do n't want them to be grateful to me , i want that child to be grateful to me a life and a develping human being who are the young people of our society well well , what a noble man you are placing the value of life above the value of a good life did i say noble \? i meant retarded well well i said that to illusrate what true deabting is all about and not what you think if i was a bad debater i would not have lead all of my teams \? would i and end up coming out on the winning end \? again , either you are a liar or your league is full of idiots \) because i am portraying to you what a debate is all about and what are the proper ways of responding to an argument you think you are going to convince a group of people by saying you do not care or does not matter if asked something in debate because if that is the cae then you would be a loser in debating debating 101 debunking and calling out opponents on non sequiters is how a debate works there 's no need to prove someone else 's abortion is none of my \( or your \) business debunking your reasons for being pro life does that by itself do you understand \? you said a district attorney can be stupid or childish so my advice to you is why do n't you try becoming one first and them judge them , and that is if you can ever become one 1 2 3 lt lt you understand this , right \? well , here 's a line of reasoning almost as simple and easy to comprehend district attorneys are people people can be stupid and childish therefore , district attorneys can be stupid and childish there 's no need to become a district attorney to understand that they are n't infallible really are you referring to life as in daily activities or the human life because i never know life can change \? if that was the case then the human life could have been altered to different forms everything is constantly changing you 're heart pumps fresh blood , your skin falls off and is replaced , sperms turn into zygotes etc etc etc life and death are n't opposites , they 're complementariness well the reaon i called you that is because you are building an argument filled with non supportive inforamtion and i agree i had no right to but then think of all the facts you are runnig from wrong again i'm not building an argument , i'm debunking yours there 's no running here , simply wading through the things you 've said and lastly my friend if you had strong critical thinking skills you could have simply figured out that last night we concluded a debate on hitler and if our information was merely based on opnions rather than facts we would have came out losing instead of winning come on use your head and not only your eyes do i have to explain everything to you \? nothing you just wrote changes that your hitler debate has nothing to do with this debate you could be lying about the whole thing for all i know come on use your head and not only your eyes do i have to explain everything to you \? \)","when you say that term neither you are portraying to me that either you are confused or you are not sure which side to take how can you be neither when everything you said so far has supported pro abortion \? if there were two teams and each of these teams were either pro life or pro abortion , which one would you choose \? obviously , there is no way that you can say neither , so which team will you choose \? when people say pro choice they are referring to a woman 's right to have an abortion do some research on the topic please you words tells a lot about you and to be very honest with you that is why my response is coming so low graded to you because expect to get what you portray well i do not care what you say because like i said am the creator of this debate and you are the person challenging me so to me it means less you seem to forget that you are debunking without facts so if i am liar good for me again i will not have you calling me names and if you do not stop then i will restrain you from posting any arguments in relation to my debates because name calling is childishness to me and the same goes for comparing really \? i think your problem is you love to judge and if you continue doing that then again i will restrain you from debate and then we will see who is the debater and the respondent let us keep it to a professional level please by doing this you are making both of us look like two children which we are not my conclusion is drawn from facts which i have demonstrated in my arguments but you point to one part where you made reference to facts \? did you see my entire argument was based on fallacy \? because if you said so then i think you are jumping to an inconsistent conclusion and again i do not care what you call me because like i said i have already proved myself to a panel of judges you can say all you want but it would n't affect me but lets just keep it as a debate on a professional level",+1,-1,0
abortion,"it makes me sick to think that there are people as thick skulled as you living in your ideal little world with lolli pop forests and marshmallow skies have you ever heard of rape , or incest \? abortion should not be a form of birth control , but for a victim of sexual abuse of any kind , it should at least be a final option","yeah , that makes sense let 's kill the kid for a crime they did n't commit thanks for clearing that up for me but please tell me why you think death is preferable to life \?",+1,-1,0
abortion,"i 'll be more blunt it is n't your responsibility to teach others moral lessons that involve contracting fatal diseases , or ruining their lives such behaviour is vindictive and arrogant that is your subjective opinion , i on the other hand disagree i think my 'lesson' is entirely valid personal responsibility is very important it is n't arbitrary it aligns with law what law , of which nation \? besides laws can be changed being against killing is n't much of an argument we kill every day as far as i and anyone who has ever looked at a foetus is concerned , killing a foetus is little different from killing an apple when you made cider utterly ridiculous an apple is a fruit and is not a multi cellular organism , such as a human foetus i do not kill human foetuses everyday and that is what we are discussing not apples or plums or oranges lol","nonsense the foetus has a central nervous system fruit do not a nervous system is required to feel , but without a proper mind , one in development it is n't feeling anything we might consider human secondly one is animal the other is plant plants have systems which are alike our nervous system , merely simpler and with different purpose",-1,+1,0
abortion,well i'm glad we 've already gotten to name calling i'm glad we can all get along,bahaha yes im just that mature and do those kind of things lol but no we cannot get along cuz well yeah,-1,+1,0
abortion,"having its own dna and all the systems that isolate it from the mother 's body does not change the fact that it 's completely a part of the mother it will not amount to anything if it 's detached from her i did have it right when i said your view decides when a life is worthy of life and when a life is unworthy of life you can think what you like , but at 20 weeks' gestation a fetus is still a person the fact that society may be able to save it without its mother does not automatically make it a person it 's still so very far from actually entering personhood and about this notion of potential life ! by all the standard definitions of life , it 's alive and has been throughout , potentiality is a farce i do n't know where you get your definition , but until it has a fully functional , self sustaining biological system and is not attached to another life via the umbilical cord , i'm going to regard it as potential and finally were do you get this arbitrary standard of survival and person hood it 's not arbitrary , it 's fact me and a lot of other people hold this view we make the laws to help us with our lives at the moment , we do n't actually need to ban abortion cos doing that does n't actually help , and your argument that abortion equals murder is complete crap","it will not amount to anything if it 's detached from her that 's called discrimination based on level of dependency it would seem to be the more compassionate thing to protect humans who are more dependent on others for their existence you protect the weak , not exploit or kill them it 's still so very far from actually entering personhood i'm talking about human life , not personhood equivocating on terms is an attempt to ignore the obvious were talking about human life i do n't know where you get your definition oh i do n't know , i just went to dictionary com and got this definition and it does n't discriminate on the basis of level of dependency like you do what you call potential it calls life in fact it makes no such distinction something is either alive or not also , i could n't find a definition for potential life , only an article referring to it as a a clever rhetorical trick and since the parents of this life are human it 's safe to say it 's human that ought to be obvious to any casual observer here is the standard definition of life the condition that distinguishes organisms from inorganic objects and dead organisms , being manifested by growth through metabolism , reproduction , and the power of adaptation to environment through changes originating internally we do n't actually need to ban abortion cos doing that does n't actually help banning abortion would n't stop the killing of over 1500 humans a day \? i hope your kidding because of course it would that 's why we ban things , to stop them and yes , that would most certainly help all those innocent humans your argument that abortion equals murder is complete crap well , let 's see something that was , by the standard definition of life , alive is now not alive , by the standard definition of life so if something was alive we refer to it as dead and that death came by willful intent , not an accident in a court of law that 's referred to as premeditated homicide but since you can discriminate on the basis of level of dependency or level of development i guess that makes it ok , right \? i do n't think so call it what you will but a duck by any other name is still a duck",+1,-1,0
abortion,"exactly you would n't have cared , because you could n't have cared you would have never have had the chance to voice your opinion to have your say as you do today","so you agree with everything i just said , why then did you not click on the support link instead of the dispute link \?",-1,+1,0
abortion,ok this is exactly what i said this argument wasn't about,"sorry i actually did n't read the debate , only the headline p but whatever !",-1,-1,1
abortion,abortion is invariably the decision of the woman because it is her body whether if the sex was consensual or rape the government nor the church has any right telling what a woman should do with her body abortion is acceptable because a fetus is not a baby,"no , it 's also the body of the unborn baby and the unborn baby did n't consent to be killed a fetus is a living human being because it consists of living human cells which are genetically different from the mother",+1,-1,0
abortion,"abortion rights are being abused it should not be looked at like an easy form of contaception people ought to abstain from sex or practise safe sex yeah ive heard that argument before , however abortion is a serious matter and unfortunately there are cases in which an abortion is neccesary http www leaderu com ftissues ft9603 articles goodwin html","i agree that there are times when an abortion is necessary , but when one want 's to kill over the fear of parenthood that is when things are getting out of hand",+1,-1,0
abortion,"i take it from that statement then that you are also against capital punishment , and for universal healthcare christians are such hypocrites , i seriously dislike you people 1 it has no more feelings or emotions than this keypad i'm typing on until the 3rd trimester , and then about as much feeling and emotion as a grasshopper 2 if you do n't want an abortion , you do n't have to get one why every jesus cannibal thinks they have to dictate everyone else 's life is a mystery to me 3 even if you somehow managed make it illegal , guess what , there would still be just as many abortions the only difference is that they will get abortions in dirty basements like they did before it was legal , and more mothers would die so pro life would actually end up costing more life congratulations , way to kill a bunch of young mothers edward jesus is n't going to give you a cookie now","those mothers deserve to die that baby will have emotions , but if you believe in your oppinions so much , maybe your mother should have had an abortion , the world would have one less imbecile besides you would have as much emotion as a grasshopper",+1,-1,0
abortion,"fetuses are capable of responding to stimuli brain development begins in the early embryonic period or at week 5 of pregnancy http www mayoclinic com health prenatal care pr00112 brain development does n't imply having a proper brain it takes weeks before the brain resembles anything complex idx takes place around 16 weeks , and at that point the fetus has an actual brain later on as a fetus they can sense and respond , they can kick and punch new born babies can recognizes the cadence of their parents language , they learn that stuff well in the womb http www babycenter com 404 is it true that babies can recognize their mothers voice at 10323727 bc alright , you demonstrated some memory and stimuli response assuming it is partially aware of its surroundings , it is still sub human in its cognitive functions , meaning many simple animals are more self aware this allows for a rational decision in favour of the mother 's right over her own body the future ramifications of a choice does factor in to making laws laws are all about that the texting and driving laws are about the future ramifications of allowing or not allowing different groups \( age based \) to text and drive the question asked is the following will banning it decrease crashes \? the word will is a reference to the future you 're mistaking laws which exist to prevent accidents , using statistics to back their premises , with a law which would make an operation illegal because the present life it ends would in the future be a life in other words , the first types of laws are about minimising the chance of damage chance is the operative word the second hypothetical law is about preventing an operating from occurring because only in the future will it have ethical problems the distinguishing feature is that one set of laws is based on chance accident prevention , the other is based upon the rights bestowed to a person only in a hypothetical future , in other words treating a present nonentity as a future person going back to my condom example , the example was reducing your argument to its extremes a condom has sperm which if allowed to fertilise an egg will become a foetus , then a child wasting the condom therefore would be the same as wasting a child 's life , using your reasoning what is meant by individuality \? the zygote has its own dna pattern it is individual , unique i have a feeling you mean something different \? individuality comes from the memories you have clones exist as part of nature , but they are still separate individuals because they experience different memories the first two weeks of pregnancy your not actually pregnant according to the first article mentioned in the above , there is most certainly nothing wrong with doing something with in that time period to insure you do n't become pregnant i would argue that since we are already dealing with a known individual , the woman , who already has legal rights bestowed upon her as an individual , the decision of whose rights should prevail is fairly simple it has n't been established even remotely that the foetuses which are aborted in over 90 of cases are individuals","wasting the condom therefore would be the same as wasting a child 's life , using your reasoning that is not my reasoning i have some tests coming up so i wo n't respond immediately perhaps this weekend i 'll write something up summarizing my position responding and not stating may of lead to confusion my responses have been criticisms of the argument from sapience you have been making , not a argument for or against abortion themselves instead of being reactive i 'll be active , so far this debate has been very helpful i think i can now put explicitly my objections but i wo n't have time to make sure their elegant , concise etc till the weekend i likely wo n't get on this website till then , or friday",+1,-1,0
abortion,"1 i disagree with your definition of life one must consider both scientific and philosophical perspectives for a comprehensive definition to be made 2 a fetus does not have all of those features from the moment of conception 3 i disagree with the assumption that a fetus is a human being again , one must consider both science and philosophy 4 killing a fetus is not tantamount to murder , in the same way that contraception is not tantamount to murder the prevention of possible life is not tantamount to murder","1 what is your philosophical definition of life \? 2 yes it does go read any biology text book 3 it 's not an assumption , it 's a deduction based off of the biological definition of life and its unique genetic code i 'll wait on your philosophical definition of life before commenting further 4 prevention of possible life is not murder , i agree this goes back to defining what life is again i 'll wait",+1,-1,0
abortion,"this is nothing but hacky , sickening propoganda manufactured to instill guilt and fear in anyone considering abortion a one , two , three , etc month old fetus is n't thinking anything , much less babbling to itself about how much it loves its mommy the most conservative estimates put fetus 's the ability to feel pain at 20 weeks , a date after which abortions are incredibly rare , and likely to be for reasons of an inviable fetus or the mother 's health \( http en wikipedia org wiki file us abortion by gestational age 2004 histogram svg \) even this assertion , notably used in pro life legislation \( http www newscientist com article dn18785 briefing new law claims a fetus can feel pain html \) trying to whittle down the likelihood of a woman getting abortion by any means possible \( scrupulous or not \) is debated by evidence from various studies that place the ability to feel pain at 24 26 weeks http theweek com article index 204531 can fetuses feel pain the ability to form any semblance of consciousness probably comes well after pain response , making this piece of chain mail nothing but a slanted fabrication that unrealistically anthropomorphizes the fetus this particular type of argument abortion is particularly repugnant to me because it relies on lies and misrepresentation to prey on people who are at a vulnerable time in their lives and turn them away from a solution they may otherwise have considered",your source is wikipedia which is a free encyclopedia which means that anyone can write anything on there and it may even be all hogwash,+1,-1,0
abortion,an old man \? you ca n't be much passed 55 by now,no i'm not that old i'm 30 years old in hex \) you 'll have to do a little research to convert that number to something that means anything to you,-1,-1,1
abortion,"all of us were once a fetus that is a child obviously , none of you chose to watch the posted video , silent screams \? or how about the facts about a 10 week fetus the whole argument is whether it is a person or not just because the law says it not , does not make that right we are challenging the law this is also our constitutional right","all of us were once a fetus agree that is a child disagree unsupported leap in logic the organism passes through varied stages of development between fertilized egg and child obviously , none of you chose to watch the posted video incorrect assertion watched it , multiple times , not in favor of outlawing abortion we are challenging the law this is also our constitutional right yup , that 's your right , but since scotus has already rejected it 's a person it 's a child not just once but many times , continuing to just assert it 's a person it 's a child while citing to a video from 25 years ago is probably not a very strong argument with which to challenge the law",-1,+1,0
abortion,"abortion truly is one of the great travesties of modern times millions of murders have been committed by misguided women who have been convinced that ending the life of their innocent child is alright murder is an act which is committed upon persons a fetus is not a person have you ever accidentally cut off a sliver of your skin \? you 've just killed more cells in that act than the typical abortion how can you live with yourself murdering so many cells throughout your lifetime \? life is an ever progressing journey it has a beginning and an end we as humans are constantly changing i , at the age of 20 , am not the same person i was 2 years ago when i am 40 i will not be the same person we are constantly growing from the moment of conception until the moment we breathe our last breath however , you are self aware of this journey a fetus is n't even aware that it is alive it is a mass of cells with minimal brain tissue if any exists at all to cut life off at any moment in this contingency that we call life is murder we know that human life technically begins at conception that 's all that needs to be said for black and white thinkers such as yourself , that 's all that you can understand you lack a deep understanding of what life exactly is life for us legally begins at birth practically speaking it begins when we are first self aware , which is well beyond the mere fetus stage taking your argument to extremes , every skin cell is a potential life , ready for propagation through activation of totipotentcy and cloning , or enucleation of a host zygote , insertion of your purified dna and implantation into a host uterus every time you shed dander you are a mass murderer , congratulations what i cannot stand are those who hide behind woman 's rights this is ridiculous a little while ago , i created my very own you tube video on this very issue it furthers my argument it 's a womans' rights issue because to be a part of a free society means having ownership and jurisprudence over your own body by letting political groups take over this very important right of a woman over her own body , you are overstepping your boundaries and effectively hijacking her reproductive organs for your own moral agenda maybe you would have empathy for women on this topic if political activists were campaigning to take control of your ejaculations , arguing that a single sperm is a life , and unless each and every sperm is conserved for female impregnation , you were committing murder","murder is an act which is committed upon persons a fetus is not a person have you ever accidentally cut off a sliver of your skin \? you 've just killed more cells in that act than the typical abortion this is where we have a fundamental disagreement i see the zygote as human life not a cell that is part of a mammal the zygote , if allowed to continue growing naturally , will become a human being therefore , to terminate this human life is murder however , you are self aware of this journey a fetus is n't even aware that it is alive it is a mass of cells with minimal brain tissue if any exists at all this is rather dangerous thinking whether a the fetus is self aware or not does not prove or disprove it 's humanity i take it you are gun ho on euthanasia , possibly even as radical as peter singer on these issues life for us legally begins at birth practically speaking it begins when we are first self aware , which is well beyond the mere fetus stage what you fail to realize is that i am not concerned with the legality of this concept of life this is a profound moral issue you keep harping the point that life begins at the stage of self awareness this is very comical because technically we do n't know when that is yet , and we may never know so to base your argument for the beginning of life on an assumption makes for a very weak point taking your argument to extremes , every skin cell is a potential life , ready for propagation through activation of totipotentcy and cloning , or enucleation of a host zygote , insertion of your purified dna and implantation into a host uterus every time you shed dander you are a mass murderer , congratulations the zygote that results from intercourse naturally will form into a fetus dander will not naturally form into a fetus , unless one goes through means of the things that you 've just described man made , unnatural means that 's the difference it 's a womans' rights issue because to be a part of a free society means having ownership and jurisprudence over your own body sure , up until the point where there is another human life inside that body there are now two humans rather than one what about the right of the human inside the woman \? you seem to ignore that human 's rights you are overstepping your boundaries and effectively hijacking her reproductive organs for your own moral agenda and the woman who has an abortion essentially agrees to assist a doctor in murdering her child by sucking it 's brains out this , of course , is for her own selfish , arrogant , and unethical agenda maybe you would have empathy for women on this topic if political activists were campaigning to take control of your ejaculations , arguing that a single sperm is a life when you find a human being that came from a single sperm alone , let me know otherwise , what you just typed is ridiculous no one would possibly even argue that under any circumstances \( except you of course \)",+1,-1,0
abortion,"if your mother thought that was best , then yes those accomplishments had not happened yet , and did not exist anyone can accomplish something good , but there is a much smaller chance being born into poverty",thank you for making that point so infact we do n't know what accomplishments these unborn can make but yet we want to abort them \? what do you mean there is a much smaller chamce of being born into poverty \? do you read about poverty worldwide \? do you study world history or facts \? read up on thirdworld countries and poverty and pregnancy worldwide also aveske himself told me i have potential to be a great debater so i do n't need to explain myself to you ask him yourself,-1,+1,0
abortion,"if you mean disgusting as in 'gross to watch , ' then we 're in agreement , but that does n't turn an opinion into a fact how dare i speak as if what i think matters ! \? more than the thoughts of people actually faced with getting abortions \? if it 's necessary it 's not really a choice , is it \? if by necessary , you mean something that logically follows and literally cannot be other way , then even your 'necessary' abortions are not necessary no medical procedures are 'necessary ' after all , people can always 'choose' to let themselves die slow , painful deaths i ca n't decide what 's necessary you already have unless you did actually mean necessary in the logical sense , you 've decided 'necessary' means 'necessary to prevent the mother from suffering death or serious injury ' an abortion could be necessary to restore the mother 's health a pre pregnancy level , necessary to maintain a lifestyle that enables a mother to support her existing children , necessary to preserve the mother 's mental health , necessary to allow the mother control of her own reproductive life , or necessary for any number of things you 've decided are less important than not getting an abortion i 'd like doctors who perform surgeries that do n't play a role in maintaining or restoring health to be recategorized as hacks things that would make doctors hacks according to you correcting birth defects such as extra fingers , tails , or deviated septa cosmetic reconstructive surgery for accident victims all exploratory surgeries things that would n't abortion \( unless you can show me that pregnancy does not reduce the mother 's health from its pre pregnancy level , thus making abortion a procedure that restores health \)","if you mean disgusting as in 'gross to watch , ' then we 're in agreement , but that does n't turn an opinion into a fact it 's just a tad more deep seated than an opinion disgust can be evoked without visual stimulus or having formed anything like an opinion for example with extremely foul odors an odor that is in fact disgusting to some , others may find that they can tolerate the fact that some people build a tolerance and can endure without experiencing disgust does n't make it any less factual that the smell is disgusting more than the thoughts of people actually faced with getting abortions \? if someone feels like they are faced with getting an abortion when they really are n't , perhaps thoughts like those i express will be considered more weighty than those expressed by people like you who as i see it are advocates of abortion as a form of birth control if by necessary , you mean something that logically follows and literally cannot be other way , then even your 'necessary' abortions are not necessary true , there are always other options , though they may not be immediately perceivable i do n't use the word necessary in such a manner as to retard recognition of the possibility of better options obviously earlier on some things were thought to be necessary that were later proven not to be after all , people can always 'choose' to let themselves die slow , painful deaths no they ca n't , not always \) anything we deem to be necessary is representative of a decision we 've already made it 's a specific conclusion we 've come to in that other possible courses of events are excluded from consideration you already have unless you did actually mean necessary in the logical sense , you 've decided 'necessary' means 'necessary to prevent the mother from suffering death or serious injury ' the only reason abortions are performed is that we do n't realize better alternatives it 's not that the alternatives do n't exist , it 's that they are not sought out with enough diligence if you want to use logic so strict that it renders the use of the term necessary pointless , i 'll have to agree that no medical procedures are necessary you could however submit to common sense and realize i was referring to a determination of necessity made by a licensed medical professional things that would make doctors hacks according to you correcting birth defects such as extra fingers , tails , or deviated septa cosmetic reconstructive surgery for accident victims all exploratory surgeries sorry , i left out improving i'm sure you would n't dispute that those type of surgeries have health benefits i think you 're straining at gnats here things that would n't abortion \( unless you can show me that pregnancy does not reduce the mother 's health from its pre pregnancy level , thus making abortion a procedure that restores health \) there are countless factors that come into play when considering the overall health of a person , and i may not be able to convince you , but there are plenty of occasions where pregnancy and childbirth result in a stronger more healthy woman if the burden of proof was on you , i suspect you would have trouble showing that abortion restores health to a pre pregnancy level",+1,-1,0
